Total frames : 46
  ok         : 44
  partial    : 0  (clipped >= 3 corners)
  missed     : 2

Frame                Result             Area   Aspect  Clipped    Eps  PolyPts  HullPts
------------------------------------------------------------------------------------------
frame_000000         ok                 3751    1.147        0   0.04        4       15
frame_000018         ok                  684    0.609        0   0.06        5       12
frame_000025         ok                  722    1.588        0   0.04        4       12
frame_000031         ok                 1713      2.0        0   0.04        4       14
frame_000037         ok                  689     0.63        0   0.06        5       11
frame_000044         ok                  690    0.609        0   0.06        5       11
frame_000051         ok                  731    0.328        0   0.04        4       14
frame_000057         ok                 4732    1.171        0   0.04        4       13
frame_000064         ok                 4872    1.171        0   0.04        4       14
frame_000071         ok                  725    1.333        0   0.04        4       12
frame_000078         ok                 3274    0.932        0   0.04        4       18
frame_000084         ok                 4277    0.594        0   0.06        5       14
frame_000090         ok                 5276    1.206        0   0.04        4       10
frame_000097         ok                  802    1.667        0   0.06        5       10
frame_000103         ok                 2824    1.194        0   0.04        4       17
frame_000110         ok                 5274    1.206        0   0.04        4       11
frame_000116         ok                 5288    1.206        0   0.04        4        9
frame_000122         ok                 5267    1.206        0   0.04        4       10
frame_000129         ok                 2584    0.963        0   0.08        6       12
frame_000135         ok                 4088    0.851        0   0.08        5       10
frame_000142         ok                 5184    1.206        0   0.04        4       11
frame_000148         ok                 5213    1.206        0   0.04        4       12
frame_000155         ok                 1666    2.441        0   0.04        4        8
frame_000162         ok                 2431    1.891        0   0.04        4       11
frame_000169         ok                 9550      1.6        0   0.06        5       15
frame_000176         ok                16518    1.462        0   0.04        4       14
frame_000183         ok                 7558    1.871        2   0.04        4        9
frame_000190         ok                 1248    1.091        0   0.04        4       13
frame_000196         ok                 1628     1.06        0   0.04        4       14
frame_000202         ok                 2046    0.923        0   0.06        5       15
frame_000209         ok                 3794    0.835        1   0.08        5       13
frame_000215         ok                  910    1.346        2   0.04        4       10
frame_000222         ok                10116    1.437        1   0.06        5       20
frame_000228         ok                 2702    1.642        0   0.04        4       16
frame_000234         ok                  568    0.919        0   0.04        4       16
frame_000241         no_candidates         -        -        -      -        -        -
frame_000248         ok                  275    1.037        0   0.08        5       12
frame_000255         no_candidates         -        -        -      -        -        -
frame_000261         ok                  440    1.619        0   0.06        5       12
frame_000268         ok                  717    1.171        0   0.04        4       12
frame_000274         ok                  697    1.077        0   0.06        5       17
frame_000280         ok                  736    1.077        0   0.06        5       18
frame_000287         ok                  728    1.367        0   0.04        4       11
frame_000294         ok                  697    1.345        0   0.04        4       13
frame_000301         ok                  761    1.077        0   0.06        5       17
frame_000307         ok                  738    1.077        0   0.06        5       17
