Total frames : 46
  ok         : 28
  partial    : 0  (clipped >= 3 corners)
  missed     : 18

Frame                Result             Area   Aspect  Clipped    Eps  PolyPts  HullPts
------------------------------------------------------------------------------------------
frame_000000         ok                 4873      1.0        0   0.04        4       19
frame_000018         ok                 6029    1.025        0   0.04        4       14
frame_000025         ok                 6144    1.012        0   0.04        4       16
frame_000031         ok                 6354      1.0        0   0.04        4       10
frame_000037         ok                 1394    1.837        0   0.04        4       11
frame_000044         ok                 5646    0.976        0   0.04        4       13
frame_000051         ok                 6566    0.943        0   0.04        4       16
frame_000057         ok                 6204    1.025        0   0.04        4       14
frame_000064         ok                 6212    1.025        0   0.04        4       13
frame_000071         ok                 5088    1.097        0   0.04        4       15
frame_000078         ok                 6728    1.012        0   0.04        4       13
frame_000084         ok                 6347    1.099        0   0.04        4        9
frame_000090         ok                 6267      1.3        0   0.04        4        9
frame_000097         ok                 5567    0.975        0   0.04        4       10
frame_000103         ok                 5554    1.037        0   0.04        4       10
frame_000110         spotlight_distortion     6885     2.31        -   0.04        4        8
frame_000116         spotlight_distortion     6422    2.074        -   0.04        4        8
frame_000122         spotlight_distortion     6424    2.062        -   0.04        4        8
frame_000129         spotlight_distortion     3992    0.837        -   0.06        6       12
frame_000135         spotlight_distortion     6322     1.63        -   0.04        4        9
frame_000142         spotlight_distortion     6729    2.205        -   0.04        4        8
frame_000148         spotlight_distortion     6431    2.074        -   0.06        5        6
frame_000155         ok                 6610    0.965        0   0.04        4       13
frame_000162         ok                 2974    0.815        0   0.06        5       13
frame_000169         spotlight_distortion    10304    2.228        -   0.04        4       10
frame_000176         spotlight_distortion    12644    1.865        -   0.04        4       11
frame_000183         ok                 7660    2.059        2   0.04        4        9
frame_000190         ok                 1238    1.441        0   0.04        4       11
frame_000196         ok                 1982    1.038        0   0.04        4       16
frame_000202         ok                 2784    1.034        0   0.04        4       13
frame_000209         ok                 4139    0.847        1   0.06        5       15
frame_000215         ok                 1992    1.327        2   0.04        4       12
frame_000222         ok                11136     1.57        2   0.04        4       23
frame_000228         spotlight_distortion     3048    1.492        -   0.04        4       16
frame_000234         no_candidates         -        -        -      -        -        -
frame_000241         no_candidates         -        -        -      -        -        -
frame_000248         no_candidates         -        -        -      -        -        -
frame_000255         no_candidates         -        -        -      -        -        -
frame_000261         no_candidates         -        -        -      -        -        -
frame_000268         ok                  982    1.229        0   0.04        4       15
frame_000274         no_candidates         -        -        -      -        -        -
frame_000280         no_candidates         -        -        -      -        -        -
frame_000287         ok                 1054    1.103        0   0.04        4       19
frame_000294         ok                 1052    1.103        0   0.04        4       17
frame_000301         ok                 1056    1.103        0   0.04        4       19
frame_000307         no_candidates         -        -        -      -        -        -
